OBJECT_NAME,OBJECT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,WEATHER,BRIGHTEST,EARTH_RESOURCES,NAVIGATION,SCIENTIFIC,MISCELLANEOUS,COMMUNICATION,active geosynchronous,constellations,active_geosynchronous
DUPLEX,1998-067XS,Space Station,2026-03-01T10:17:55.358016,15.55608097,0.000196,51.629,110.7512,85.3418,274.7797,0,U,66906,999,1384,0.00048582,0.0003361,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT XT,1998-067XT,Space Station,2026-03-01T10:10:42.767904,15.66538666,0.0004392,51.6255,107.7079,30.022,330.1027,0,U,66907,999,1388,0.0012738,0.00137518,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT XU,1998-067XU,Space Station,2026-03-01T10:08:52.779840,15.66615725,0.0004524,51.6252,107.6969,32.6879,327.4396,0,U,66908,999,1388,0.0012779,0.00138414,0.0,False,False,False,False,False,False,False,False,False,
SILVERSAT,1998-067XV,Space Station,2026-03-01T08:58:18.295104,15.68880735,0.0005352,51.6257,107.3696,28.257,331.8716,0,U,66909,999,1388,0.00142,0.00169451,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT XW,1998-067XW,Space Station,2026-03-01T08:27:25.709760,15.66113269,0.0004687,51.6248,107.9715,42.0873,318.0482,0,U,66910,999,1387,0.001154,0.00122188,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT XX,1998-067XX,Space Station,2026-03-01T19:55:36.624864,15.71384697,0.0006966,51.6226,104.4016,37.9423,322.2065,0,U,66911,999,1395,0.0015933,0.00212327,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT XY,1998-067XY,Space Station,2026-03-01T12:35:31.259904,15.62037373,0.0002711,51.6275,108.3853,46.2509,313.8709,0,U,66912,999,1387,0.00097245,0.00087122,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT XZ,1998-067XZ,Space Station,2026-03-01T17:46:16.891392,15.51106476,0.0009604,51.6323,111.3281,159.6177,200.5198,0,U,67683,999,355,0.00070811,0.00041861,0.0,False,False,False,False,False,False,False,False,False,
GXIBA-1,1998-067YA,Space Station,2026-03-01T12:44:48.521760,15.52893604,0.0011045,51.6306,112.1796,149.3528,210.8109,0,U,67684,999,352,0.0011805,0.00075127,0.0,False,False,False,False,False,False,False,False,False,
CORAL,1998-067YB,Space Station,2026-03-01T13:03:58.003776,15.51369828,0.0011563,51.6314,112.2682,154.9527,205.2026,0,U,67685,999,352,0.00078123,0.00046739,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT YC,1998-067YC,Space Station,2026-03-01T09:53:56.869728,15.51728286,0.0007665,51.6316,112.8884,122.7439,237.429,0,U,67686,999,350,0.00089126,0.00054052,0.0,False,False,False,False,False,False,False,False,False,
LEOPARD,1998-067YD,Space Station,2026-03-01T17:44:03.576192,15.51238778,0.0007663,51.6315,111.318,127.4895,232.6792,0,U,67687,999,347,0.00073456,0.0004363,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT YE,1998-067YE,Space Station,2026-03-01T09:55:55.286976,15.51553933,0.0007609,51.6318,112.8976,123.4438,236.728,0,U,67688,999,342,0.00083355,0.00050179,0.0,False,False,False,False,False,False,False,False,False,
CREW DRAGON 12,2026-031A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,67796,999,55481,0.00019202,9.927e-05,0.0,False,False,False,False,False,False,False,False,False,
CALSPHERE 1,1964-063C,Sattelite,2026-02-22T20:06:02.155680,13.76476351,0.00233918,90.2154,69.1128,279.32,201.2579,0,U,900,999,5569,0.00061865335,6.15e-06,0.0,False,False,False,False,False,radar_calibration,False,False,False,
CALSPHERE 2,1964-063E,Sattelite,2026-02-22T13:18:03.742272,13.52890527,0.0017997,90.2282,73.085,194.2538,288.1222,0,U,902,999,84076,6.4e-05,5.1e-07,0.0,False,False,False,False,False,radar_calibration,False,False,False,
LCS 1,1965-034C,Sattelite,2026-02-22T18:20:02.004576,9.89309896,0.00132072,32.1406,88.7001,76.5255,283.6713,0,U,1361,999,19855,6.5270688e-05,9e-08,0.0,False,False,False,False,False,radar_calibration,False,False,False,
TEMPSAT 1,1965-065E,Sattelite,2026-02-22T17:02:44.022336,13.33588171,0.0068849,89.9907,212.595,208.8233,178.5481,0,U,1512,999,94479,7.8959991e-05,4.8e-07,0.0,False,False,False,False,False,radar_calibration,False,False,False,
CALSPHERE 4A,1965-065H,Sattelite,2026-02-22T21:10:27.012576,13.36256333,0.0071363,89.9063,123.609,67.3504,345.8429,0,U,1520,999,94744,0.00014643083,8.6e-07,0.0,False,False,False,False,False,radar_calibration,False,False,False,
OPS 5712 (P/L 160),1967-053A,Sattelite,2026-02-22T22:11:54.320064,14.75908149,0.00051041,69.9186,317.9834,238.0834,121.9817,0,U,2826,999,4936,0.0014366728,9.825e-05,0.0,False,False,False,False,False,radar_calibration,False,False,False,
LES-5,1967-066E,Sattelite,2026-02-22T15:19:32.294208,1.09425261,0.00564738,2.3587,99.9666,207.4176,265.6468,0,U,2866,999,12978,0.0,-5.7e-07,0.0,False,False,False,False,False,False,False,False,False,
SURCAL 159,1967-053F,Sattelite,2026-02-22T22:51:01.233504,13.99570076,0.00095172,69.9714,246.81,264.7853,95.2168,0,U,2872,999,99422,9.9003246e-05,9.1e-07,0.0,False,False,False,False,False,False,False,False,False,
OPS 5712 (P/L 153),1967-053H,Sattelite,2026-02-22T21:44:25.527264,13.96808592,0.00085574,69.9761,0.2548,324.8042,35.2497,0,U,2874,999,99082,7.7878307e-05,5.5e-07,0.0,False,False,False,False,False,radar_calibration,False,False,False,
OPS 3811 (DSP 2),1971-039A,Sattelite,2026-02-22T18:47:49.826976,0.98161033,0.00244492,0.2335,351.5373,299.9713,343.8657,0,U,5204,999,20510,0.0,-1.03e-06,0.0,False,False,False,False,False,False,False,False,False,
RIGIDSPHERE 2 (LCS 4),1971-067E,Sattelite,2026-02-22T21:59:20.194944,14.3771507,0.00576638,87.6254,10.5045,251.5645,107.928,0,U,5398,999,85746,0.00026089488,8.17e-06,0.0,False,False,False,False,False,radar_calibration,False,False,False,
OSCAR 7 (AO-7),1974-089B,Sattelite,2026-02-22T15:28:37.720992,12.53695981,0.00121133,101.9973,65.6727,351.1883,123.363,0,U,7530,999,34616,9.55022e-06,-4.5e-07,0.0,False,False,False,False,False,False,False,False,satnogs,
